,OBJECTID,overlap_score,accident_count_score,hotspots_analysis_score,national_accident_count_zscore,national_mean_ohsgi_zscore,national_mean_stddist_zscore,regional_accident_count_zscore,regional_mean_ohsgi_zscore,regional_mean_stddist_zscore,state_accident_count_zscore,state_mean_ohsgi_zscore,state_mean_stddist_zscore,overall_score_national,overall_score_regional,overall_score_state,national_rank,region_rank,state_rank
0,1,0.0,0.0,5.149587577741351,-1.5046535995162387,-0.7760114917193947,,-1.5748015748023634,-0.8194938267611845,,-1.2526092170929721,-0.875939334186752,,1.7047500175452637,3.508019610487044,3.8621906833060136,617.0,86.0,16.0
1,2,0.0,50.0,19.501315311753796,0.8813790462223458,-0.5367779151176851,,0.6350006350009528,-0.49768445505926173,,0.21596710639534009,-0.3270342649915288,,25.874341923183383,57.65772768937432,64.62598648381535,203.0,32.0,10.0
2,3,0.0,50.0,8.017418356341022,0.8813790462223458,-0.728206695880988,,0.6350006350009528,-0.7551883411699682,,0.21596710639534009,-0.7662545017301834,,24.316104950401108,54.337234097508926,56.013063767255765,223.0,35.0,11.0
13,14,0.0,0.0,48.215224741214065,-1.5046535995162387,-0.058136501460737726,,-1.5748015748023634,0.14616869794485418,,-1.2526092170929721,0.7711757020837562,,7.548277553981393,15.960166541630553,36.16141855591055,581.0,81.0,13.0
14,15,0.0,0.0,4.358927431828284,-1.5046535995162387,-0.7891912606008051,,-1.5748015748023634,-0.8372228312059267,,-1.2526092170929721,-0.906179411907414,,1.5974662377403197,3.2794054076566823,3.2691955738712126,618.0,87.0,17.0
29,30,100.66006233896088,100.0,10.793929438276015,3.26741169196093,-0.6819241375077959,1.110246592597218,2.844802844804269,-0.6929305208321851,1.0222815617268564,1.6845434298836521,-0.6600623389608901,1.0000000000000013,172.76747398891752,231.0062072433709,233.9205250024081,10.0,2.0,1.0
38,39,0.0,50.0,23.941272827067923,0.8813790462223458,-0.4627668318506203,,0.6350006350009528,-0.3981271080368345,,0.21596710639534009,-0.1572208994974507,,26.47679473034516,58.94151232580876,67.95595462030094,193.0,30.0,9.0
63,64,0.0,0.0,11.012307681297154,-1.5046535995162387,-0.678283920169633,,-1.5748015748023634,-0.6880338166525585,,-1.2526092170929721,-0.6517101094023422,,2.500255869078413,5.203186731050759,8.259230760972866,611.0,85.0,15.0
64,65,0.0,0.0,100.0,-1.5046535995162387,0.8050806127627264,,-1.5748015748023634,1.307340808969569,,-1.2526092170929721,2.751768295079941,,14.574895064462234,30.93339514779126,75.0,440.0,66.0,7.0
75,76,0.0,25.0,19.54854683876815,-0.3116372766469465,-0.5359905975664173,,-0.4699004699007052,-0.49662538061786254,,-0.518321055348816,-0.3252278187514312,,14.769639604484855,32.6713843760717,39.66141012907612,433.0,62.0,12.0
76,77,0.0,50.0,57.161679373289395,0.8813790462223458,0.09099483514231055,,0.6350006350009528,0.3467754121653863,,0.21596710639534009,1.1133473478872882,,30.98443407369383,68.54697530446249,92.87125952996705,130.0,20.0,6.0
77,78,0.0,50.0,31.24974528932796,0.8813790462223458,-0.34093954812240906,,0.6350006350009528,-0.23424893428867932,,0.21596710639534009,0.12230346557957926,,27.468473082168664,61.05470927206148,73.43730896699597,178.0,27.0,8.0
78,79,0.0,100.0,66.76930925619816,3.26741169196093,0.2511475151646984,,2.844802844804269,0.5622076857888683,,1.6845434298836521,1.4808067119039237,,54.51030471443481,121.32495856076264,150.07698194214862,39.0,8.0,3.0
99,100,0.0,25.0,0.0,-0.3116372766469465,-0.8618516272821092,,-0.4699004699007052,-0.9349632373875842,,-0.518321055348816,-1.072893650633829,,12.11711942195421,27.01905008916264,25.0,548.0,75.0,14.0
120,121,0.0,75.0,28.337308056172905,2.074395369091638,-0.3894879033329405,,1.7399017399026109,-0.2995546322153275,,0.9502552681394961,0.010912587030298699,,38.18439888334273,85.21259712085104,96.25298104212968,73.0,16.0,5.0
121,122,0.0,75.0,38.27931459076441,2.074395369091638,-0.22376139110047047,,1.7399017399026109,-0.07662461740108972,,0.9502552681394961,0.3911607275991962,,39.53341849105887,88.08726319601423,103.7094859430733,66.0,13.0,4.0
165,166,100.89895250710215,75.0,4.547882819463381,2.074395369091638,-0.786041502325014,0.912431655893202,1.7399017399026109,-0.832985876903175,0.803151804912556,0.9502552681394961,-0.8989525071021585,-0.9999999999999987,160.938990591543,204.37527296657333,204.5346027484752,20.0,4.0,2.0
25,26,0.0,100.0,2.8351168379374814,0.8813790462223458,-0.8394400463332284,,0.6350006350009528,-0.9048158939985185,,1.2535663410560176,-0.7837727005109414,,23.41066158608566,52.40779785544731,102.12633762845311,239.0,37.0,6.0
119,120,0.0,100.0,13.523600643384842,0.8813790462223458,-0.3790760738980547,,0.6350006350009528,-0.28554897157059916,,1.2535663410560176,-0.3345384174752399,,27.158040428102115,60.39319908039067,110.14270048253863,181.0,28.0,5.0
145,146,0.0,100.0,0.0,0.8813790462223458,-0.9615514396410016,,0.6350006350009528,-1.0690762428852645,,1.2535663410560176,-0.9029319473410845,,22.4166705723446,50.28967278901036,100.0,253.0,39.0,7.0
158,159,0.0,0.0,33.792105986020005,-0.3116372766469465,0.49390926290936027,,-0.4699004699007052,0.8887630407047636,,-0.7977240352174655,0.5173417585665195,,23.15306050105837,50.535865742650316,25.344079489515003,244.0,38.0,8.0
159,160,0.0,0.0,16.79852914868524,-0.3116372766469465,-0.2380215404783659,,-0.4699004699007052,-0.09580691520753946,,-0.7977240352174655,-0.19689399700823154,,17.195118153991878,37.839908882626574,12.59889686151393,359.0,48.0,10.0
160,161,0.0,0.0,11.246428093752138,-0.3116372766469465,-0.47715623381137806,,-0.4699004699007052,-0.41748327229243665,,-0.7977240352174655,-0.4302474063555399,,15.248553383842731,33.69191601740124,8.434821070314104,418.0,58.0,15.0
161,162,0.0,0.0,1.713297409914985,-0.3116372766469465,-0.8877579609822814,,-0.4699004699007052,-0.9698116106367647,,-0.7977240352174655,-0.8309224886021546,,11.90624095927018,26.569682890055248,1.2849730574362388,558.0,77.0,18.0
170,171,0.0,0.0,6.019404708782172,-0.3116372766469465,-0.7022894981093452,,-0.4699004699007052,-0.7203253539185908,,-0.7977240352174655,-0.6499378830872439,,13.415960735895892,29.786789743095234,4.514553531586629,477.0,69.0,17.0
