,OBJECTID,Join_Count,TARGET_FID,CenterX,CenterY,StdDist,CLUSTER_ID,Point_Count,SUM_Crash_Rate_FHWA,MEAN_Crash_Rate_FHWA,SUM_GiZScore,MEAN_GiZScore,SUM_Gi_Bin,MEAN_Gi_Bin,Point_Count_1,Minority_HARM_EV,Majority_HARM_EV,Minority_HARM_EV_Percent,Majority_HARM_EV_Percent,Join_ID,SUM_Area_SQUAREFEET,SUM_StdDist,MIN_StdDist,MAX_StdDist,MEAN_StdDist,Minority_CLUSTER_ID,Majority_CLUSTER_ID,Minority_CLUSTER_ID_Percent,Majority_CLUSTER_ID_Percent,Join_ID_1,OHS_DBSCAN_Overlap,Crash_Count_Weight,Clustering_Overlap_Weight,OHS_Confidence_Weight,FARS_Spatial_Dist_Weight,NationalScore,Rank,Crash_Count_zscore,Clustering_Overlap_zscore,ohs_confidence_zscore,fars_spatial_dist_zscore,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,NHTSA_REGION,SHAPE,Point_Count_1_zscorecalc,MEAN_GiZScore_zscorecalc,MEAN_StdDist_zscorecalc,overlap_score,accident_count_score,hotspots_analysis_score,overall_score,overall_score_national,overall_score_state
560,561,1,567,-74.43835092211445,40.165987015674006,0.022795464500127666,567,21,102.860329764046,4.8981109411450285,95.9374098752552,4.568448089297869,37.0,1.7619047619047619,2,1;59,1;59,50.0,50.0,567,0.0,0.0,,,,,,,,567,0,,,,,1.0,,,,,,New Jersey,34,Middle Atlantic,NJ,2,"{'rings': [[[-74.41558837850022, 40.16687011686332], [-74.41558837850022, 40.1646728518715], [-74.41577148406606, 40.162719726734906], [-74.41619873038644, 40.16070556640966], [-74.41668701189542, 40.15887451165031], [-74.41748046844822, 40.15692138651366], [-74.41839599627752, 40.15490722618841], [-74.41937255839616, 40.15332031218355], [-74.42077636683518, 40.1514892574242], [-74.42211914098488, 40.15008544898518], [-74.4237060549898, 40.14849853498032], [-74.4260253903588, 40.1469116209754], [-74.42840576181578, 40.14550781253644], [-74.43060302770692, 40.14471435508432], [-74.43237304727762, 40.144104004097414], [-74.43457031226944, 40.14367675777703], [-74.43652343740604, 40.143310546645296], [-74.4382934569768, 40.143310546645296], [-74.44067382843377, 40.143310546645296], [-74.44311523418003, 40.14392089853152], [-74.44482421856219, 40.14428710966331], [-74.44671630851019, 40.14489746065021], [-74.44848632808089, 40.145690918102275], [-74.45001220689716, 40.146484374655074], [-74.45208740241105, 40.147888183993416], [-74.45410156273624, 40.149719237853446], [-74.45611572306149, 40.15191650374453], [-74.45782470744365, 40.15411376963567], [-74.45898437512813, 40.15649414019333], [-74.45989990205817, 40.158691406084415], [-74.46051025394439, 40.16070556640966], [-74.46081542988753, 40.16229248041452], [-74.46112060583062, 40.16448974630566], [-74.46099853545337, 40.167480468749545], [-74.46081542988753, 40.16992187539512], [-74.46032714837855, 40.17187499963245], [-74.45971679649227, 40.174072265523534], [-74.45892333993953, 40.175903320282885], [-74.45812988248741, 40.1774902342878], [-74.45690917961429, 40.17932128904715], [-74.45550537117526, 40.18109130861791], [-74.45410156273624, 40.18249511705693], [-74.4522094727883, 40.18408203106179], [-74.45001220689716, 40.185485839500814], [-74.44860839845813, 40.186279296952875], [-74.44720459001917, 40.187072753505674], [-74.44519042969392, 40.1876831053919], [-74.44348144531176, 40.18829345727812], [-74.44128417942068, 40.188720702699186], [-74.4382934569768, 40.188903808265025], [-74.43591308551981, 40.188720702699186], [-74.4335937501508, 40.18829345727812], [-74.43151855463691, 40.18792724614639], [-74.4298095702548, 40.187316894260164], [-74.42767333955231, 40.18609619138704], [-74.42572021441572, 40.1851196292684], [-74.42407226522221, 40.183898925495896], [-74.42279052716043, 40.18267822262277], [-74.42132568353281, 40.18109130861791], [-74.41961669915065, 40.17889404272677], [-74.41851806665477, 40.17730712872191], [-74.41772460920271, 40.175903320282885], [-74.4169921878385, 40.174072265523534], [-74.41632080076369, 40.171691894965875], [-74.41577148406606, 40.16949462907479], [-74.41558837850022, 40.16687011686332]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",0.5883484054145521,1.1479725704425008,,0.0,66.66666666666667,93.12859079937887,29.337476744422894,29.337476744422894,136.51310976620084
578,579,1,585,-74.21737190113775,40.89712497104063,0.01627323732934159,585,10,60.450523318888,6.0450523318888,36.3441953864197,3.63441953864197,20.0,2.0,3,8,12,33.33333333333333,66.66666666666666,585,58647735.3330569,0.0136768808537174,0.01367688085371738,0.01367688085371738,0.013676880853717398,85,85,70.31409386220746,70.31409386220746,585,1,,,,,3.0,,,,,,New Jersey,34,Middle Atlantic,NJ,2,"{'rings': [[[-74.20111083989269, 40.89770507782799], [-74.20117187508129, 40.89532470727033], [-74.20172119177892, 40.8928833006247], [-74.20239257795441, 40.89093017548811], [-74.20349121134967, 40.88867187530769], [-74.20489501978864, 40.8867187501711], [-74.20629882822766, 40.88531494173208], [-74.20770263666668, 40.88409423795963], [-74.20922851548295, 40.88311767584099], [-74.2109985350537, 40.882324218388874], [-74.2130126953789, 40.881530761836075], [-74.21478271494965, 40.88110351551575], [-74.21710205121803, 40.88092040994985], [-74.21960449215294, 40.88110351551575], [-74.22180175804402, 40.881530761836075], [-74.22399902303584, 40.882324218388874], [-74.22558593794002, 40.88311767584099], [-74.22698974637905, 40.88409423795963], [-74.22839355481801, 40.88531494173208], [-74.22979736325703, 40.8867187501711], [-74.23120117169606, 40.88867187530769], [-74.23242187456918, 40.89093017548811], [-74.23297119126681, 40.8928833006247], [-74.23352050796439, 40.89532470727033], [-74.23358154315304, 40.89788818339383], [-74.2332153320213, 40.900695801171196], [-74.23248290975783, 40.903076171728856], [-74.23168945320504, 40.904907226488206], [-74.23077392537567, 40.906494140493066], [-74.22979736325703, 40.90771484336625], [-74.22839355481801, 40.909118652704535], [-74.22680664081315, 40.91052246114356], [-74.22467041011066, 40.91168212882809], [-74.2229003905399, 40.91247558628021], [-74.22106933578056, 40.91308593726711], [-74.21917724583255, 40.9133300780216], [-74.21691894565214, 40.91351318358744], [-74.21411132787483, 40.91308593726711], [-74.21148681656268, 40.912292480714314], [-74.20959472661468, 40.911315917696356], [-74.20788574223258, 40.91052246114356], [-74.20587158190733, 40.90869140638421], [-74.20410156233658, 40.90667724605896], [-74.2030029298407, 40.904907226488206], [-74.20202636682268, 40.90270996059712], [-74.20129394545853, 40.89990234371908], [-74.20111083989269, 40.89770507782799]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",1.5689290811054721,-0.8663763280573343,,100.86637632805733,100.00000000000001,0.0,162.2234837183149,162.2234837183149,226.08297041007165
594,595,2,601,-74.73743758630712,41.3515496769708,0.02112681132882055,601,19,121.046851910313,6.3708869426480526,88.1099263497348,4.637364544722883,57.0,3.0,1,12,12,100.0,100.0,601,0.0,0.0,,,,,,,,601,0,,,,,-1.0,,,,,,New Jersey,34,Middle Atlantic,NJ,2,"{'rings': [[[-74.71630859366599, 41.35229492167423], [-74.71636962885464, 41.34930419923029], [-74.71691894555221, 41.3464965823523], [-74.71759033172776, 41.344482422027056], [-74.71820068361399, 41.3427124024563], [-74.71942138648711, 41.340515136565216], [-74.72106933568062, 41.338317870674075], [-74.72308349600587, 41.33612060568231], [-74.72509765633112, 41.3344726564888], [-74.7272949222222, 41.33312988323843], [-74.72918701127088, 41.332275390597715], [-74.73071289098647, 41.331726073900086], [-74.73229980499133, 41.33111572291318], [-74.7346191403604, 41.3306884765928], [-74.73718261738321, 41.33050537102696], [-74.73889160176532, 41.33050537102696], [-74.74047851577023, 41.3306884765928], [-74.74291992151649, 41.33129882847908], [-74.74499511703038, 41.33190917946598], [-74.7465209958466, 41.332519531352204], [-74.7484130857946, 41.33367919903674], [-74.7503051757426, 41.334899901909864], [-74.75177001937021, 41.33612060568231], [-74.75329589818648, 41.33789062525307], [-74.75482177700275, 41.33972168001242], [-74.75610351596384, 41.34167480424975], [-74.75689697251659, 41.3435058590091], [-74.7576904299687, 41.34588623046608], [-74.75817871057836, 41.347900390791324], [-74.7584838865215, 41.34991455111657], [-74.7584838865215, 41.35229492167423], [-74.75817871057836, 41.355102539451536], [-74.75762939478005, 41.357727050763685], [-74.75701904289383, 41.359313964768546], [-74.7564086910076, 41.360900878773464], [-74.75531005851172, 41.36267089834416], [-74.75402832044995, 41.36468505866941], [-74.75280761757682, 41.36608886710843], [-74.75158691380437, 41.36730956998156], [-74.7503051757426, 41.36853027375406], [-74.7484130857946, 41.36968994143854], [-74.7465209958466, 41.370727538745825], [-74.74499511703038, 41.371276855443455], [-74.74310302708238, 41.37188720732968], [-74.74090576209056, 41.37249755831658], [-74.73852539063358, 41.37268066388242], [-74.73608398398801, 41.37268066388242], [-74.73388671899625, 41.37249755831658], [-74.73211669942549, 41.37207031289552], [-74.73022460947749, 41.371520996197944], [-74.728088378775, 41.370727538745825], [-74.72601318326116, 41.3695068358727], [-74.7236938478921, 41.36767578111329], [-74.72198486350999, 41.36608886710843], [-74.72082519492614, 41.36468505866941], [-74.71972656243025, 41.36309814466455], [-74.71862792993437, 41.36132812509379], [-74.71752929653911, 41.35870361288232], [-74.71679687517496, 41.356079101570174], [-74.71649169923188, 41.35430908199942], [-74.71630859366599, 41.35229492167423]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-0.392232270276368,1.296599489797809,,0.0,33.333333333333336,100.0,18.519629496370477,18.519629496370477,108.33333333333334
600,601,2,607,-75.09525473197027,40.9317786895849,0.018678670075712372,607,18,58.2733212818278,3.237406737879322,66.483112148945,3.6935062304969426,36.0,2.0,1,12,12,100.0,100.0,607,0.0,0.0,,,,,,,,607,0,,,,,-1.0,,,,,,New Jersey,34,Middle Atlantic,NJ,2,"{'rings': [[[-75.07659912145164, 40.93188476547044], [-75.07678222611815, 40.929077148592455], [-75.07727050762713, 40.926696777135476], [-75.07788085951341, 40.92492675756472], [-75.07891845682065, 40.922912597239474], [-75.08032226525967, 40.92047119149322], [-75.08160400422076, 40.91912841824279], [-75.08300781265979, 40.91772460980383], [-75.08489990260773, 40.916320800465485], [-75.0866088869899, 40.9152832031582], [-75.08819580099475, 40.91448974570608], [-75.09039306598652, 40.913696289153336], [-75.09228515593452, 40.9133300780216], [-75.09411621069393, 40.91308593726711], [-75.0964965821509, 40.9133300780216], [-75.09881591751991, 40.91351318358744], [-75.101013183411, 40.914123535473664], [-75.10339355486798, 40.91510009759236], [-75.10540771519322, 40.916076659710996], [-75.1072998042419, 40.91772460980383], [-75.10888671914608, 40.91912841824279], [-75.11010742201927, 40.92047119149322], [-75.11157226564688, 40.922912597239474], [-75.11267089814277, 40.92529296869645], [-75.11340332040623, 40.9273071290217], [-75.11370849634937, 40.92889404302656], [-75.11389160191521, 40.93072509778591], [-75.11376953153797, 40.933288573909465], [-75.11352539078348, 40.935913086120934], [-75.11279296852001, 40.93811035201202], [-75.11212158234446, 40.939880370683454], [-75.1113281248924, 40.941284180021796], [-75.11022949239651, 40.94287109402666], [-75.10852050801435, 40.9448852543519], [-75.10620117174602, 40.94689941377783], [-75.10382080118836, 40.94848632778269], [-75.10180664086312, 40.94927978523481], [-75.09979248053787, 40.94989013712103], [-75.09729003870365, 40.950500488107934], [-75.0946044922029, 40.950500488107934], [-75.09228515593452, 40.950317382542096], [-75.09057617155241, 40.94989013712103], [-75.088317871372, 40.94927978523481], [-75.08599853510367, 40.948120117550275], [-75.08422851553291, 40.94689941377783], [-75.08270263671665, 40.9456787109047], [-75.08148193384352, 40.94451904322017], [-75.0800781254045, 40.94268798846082], [-75.0787963864434, 40.94067382813557], [-75.07781982432476, 40.93847656224443], [-75.0770874020613, 40.93627929725267], [-75.07678222611815, 40.934082031361584], [-75.07659912145164, 40.93188476547044]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-0.392232270276368,-0.7389485180931918,,0.0,33.333333333333336,5.89131921458571,14.503178944714577,14.503178944714577,37.751822744272616
601,602,1,608,-75.1357185629213,40.66900079181313,0.005333925520128525,608,5,0.0,0.0,18.234994858191,3.6469989716381903,10.0,2.0,0,,,,,608,0.0,0.0,,,,,,,,608,0,,,,,,,,,,,New Jersey,34,Middle Atlantic,NJ,2,"{'rings': [[[-75.13037109385021, 40.66827392610173], [-75.13110351521436, 40.66650390653098], [-75.13232421898687, 40.66491699252606], [-75.13360595704859, 40.664123535074], [-75.1351928710535, 40.66387939431951], [-75.13739013694459, 40.664123535074], [-75.139221191704, 40.665100098091955], [-75.14031982419988, 40.66650390653098], [-75.1409912112747, 40.66888427708864], [-75.14050292976572, 40.67108154297972], [-75.139221191704, 40.673095703304966], [-75.13769531288773, 40.673889159857765], [-75.13616943317214, 40.67431640617809], [-75.13409423855762, 40.674072265423604], [-75.13220214860962, 40.67291259773907], [-75.13110351521436, 40.671691894865944], [-75.13049316422746, 40.67010498086108], [-75.13037109385021, 40.66827392610173]]], 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-1.372812945967288,-0.8392472140897849,,0.0,0.0,1.2542495271376322,3.1941630181413823,3.1941630181413823,0.9406871453532242
